dataset,classifier,resampling,balancing,threshold,fixed_threshold,train_size,train_size_class_0,train_size_class_1,test_size,test_size_class_0,test_size_class_1,feature,n_term,tp,fp,tn,fn,acc_class_0,acc_class_1,balanced_acc,precision,recall,fmeasure
Eclipse,knn,cv,downsample,28,64,4094,2047,2047,1364,682,682,short_long_description,200,270,250,412,432,0.5192307692307693,0.4881516587677725,0.5036912139992709,0.5192307692307693,0.38461538461538464,0.44189852700490995
Eclipse,knn,cv,smote,28,64,9344,5250,4094,3113,1749,1364,short_long_description,200,610,200,1139,1164,0.7530864197530864,0.4945722970039079,0.6238293583784972,0.7530864197530864,0.3438556933483653,0.4721362229102168
Eclipse,knn,cv,unbalanced,28,64,7297,5250,2047,2431,1749,682,short_long_description,200,1481,576,268,106,0.7199805542051532,0.7165775401069518,0.7182790471560525,0.7199805542051532,0.9332073093887838,0.8128430296377607
Eclipse,knn,cv,custom,32,64,4094,2047,2047,1364,682,682,short_long_description,200,245,209,437,473,0.539647577092511,0.48021978021978023,0.5099336786561456,0.539647577092511,0.3412256267409471,0.4180887372013652
Eclipse,knn,cv,downsample,32,64,4094,2047,2047,1364,682,682,short_long_description,200,245,209,437,473,0.539647577092511,0.48021978021978023,0.5099336786561456,0.539647577092511,0.3412256267409471,0.4180887372013652
Eclipse,knn,cv,smote,32,64,9485,5391,4094,3161,1797,1364,short_long_description,200,673,227,1124,1137,0.7477777777777778,0.497125165855816,0.6224514718167968,0.7477777777777778,0.37182320441988953,0.49667896678966794
Eclipse,knn,cv,unbalanced,32,64,7438,5391,2047,2479,1797,682,short_long_description,200,1504,549,293,133,0.7325864588407209,0.687793427230047,0.710189943035384,0.7325864588407209,0.9187538179596824,0.8151761517615177
Eclipse,knn,cv,custom,36,64,4094,2047,2047,1364,682,682,short_long_description,200,258,220,424,462,0.5397489539748954,0.4785553047404063,0.5091521293576509,0.5397489539748954,0.35833333333333334,0.43071786310517524
Eclipse,knn,cv,downsample,36,64,4094,2047,2047,1364,682,682,short_long_description,200,258,220,424,462,0.5397489539748954,0.4785553047404063,0.5091521293576509,0.5397489539748954,0.35833333333333334,0.43071786310517524
Eclipse,knn,cv,smote,36,64,9629,5535,4094,3209,1845,1364,short_long_description,200,683,197,1162,1167,0.7761363636363636,0.49892657793044226,0.637531470783403,0.7761363636363636,0.3691891891891892,0.5003663003663004
Eclipse,knn,cv,unbalanced,36,64,7582,5535,2047,2527,1845,682,short_long_description,200,1655,595,190,87,0.7355555555555555,0.6859205776173285,0.710738066586442,0.7355555555555555,0.9500574052812859,0.8291583166332664
Eclipse,knn,cv,custom,40,64,4094,2047,2047,1364,682,682,short_long_description,200,245,225,437,457,0.5212765957446809,0.4888143176733781,0.50504545670902945,0.5212765957446809,0.349002849002849,0.4180887372013652
Eclipse,knn,cv,downsample,40,64,4094,2047,2047,1364,682,682,short_long_description,200,245,225,437,457,0.5212765957446809,0.4888143176733781,0.50504545670902945,0.5212765957446809,0.349002849002849,0.4180887372013652
Eclipse,knn,cv,smote,40,64,9737,5643,4094,3245,1881,1364,short_long_description,200,691,238,1190,1126,0.7438105489773951,0.5138169257340242,0.6288137373557097,0.7438105489773951,0.3802971931755641,0.5032774945375091
Eclipse,knn,cv,unbalanced,40,64,7690,5643,2047,2563,1881,682,short_long_description,200,1618,568,263,114,0.7401646843549863,0.6976127320954907,0.7188887082252384,0.7401646843549863,0.9341801385681293,0.8259315977539561
Eclipse,knn,cv,custom,44,64,4094,2047,2047,1364,682,682,short_long_description,200,247,248,435,434,0.498989898989899,0.5005753739930955,0.49978263649149723,0.498989898989899,0.36270190895741555,0.4200680272108843
Eclipse,knn,cv,downsample,44,64,4094,2047,2047,1364,682,682,short_long_description,200,247,248,435,434,0.498989898989899,0.5005753739930955,0.49978263649149723,0.498989898989899,0.36270190895741555,0.4200680272108843
Eclipse,knn,cv,smote,44,64,9848,5754,4094,3282,1918,1364,short_long_description,200,702,233,1216,1131,0.7508021390374332,0.518108223263741,0.6344551811505871,0.7508021390374332,0.3829787234042553,0.5072254335260116
Eclipse,knn,cv,unbalanced,44,64,7801,5754,2047,2600,1918,682,short_long_description,200,1682,592,236,90,0.7396657871591908,0.7239263803680982,0.7317960837636446,0.7396657871591908,0.9492099322799097,0.8314384577360355
Eclipse,knn,cv,custom,48,64,4094,2047,2047,1364,682,682,short_long_description,200,266,231,416,451,0.5352112676056338,0.4798154555940023,0.507513361599818,0.5352112676056338,0.37099023709902373,0.4382207578253707
Eclipse,knn,cv,downsample,48,64,4094,2047,2047,1364,682,682,short_long_description,200,266,231,416,451,0.5352112676056338,0.4798154555940023,0.507513361599818,0.5352112676056338,0.37099023709902373,0.4382207578253707
Eclipse,knn,cv,smote,48,64,9956,5862,4094,3317,1953,1364,short_long_description,200,708,245,1245,1119,0.7429171038824763,0.5266497461928934,0.6347834250376849,0.7429171038824763,0.38752052545155996,0.5093525179856114
